Config,InputLinear,QKT,Softmax,SV,OutputLinear,CompTotal,Gather,CUDATotal
W1_N2048_D64_H4_B4,0.4882,1.5692,1.6666,2.1314,0.1034,5.9588,0.0459,6.0047
W2_N2048_D64_H4_B4,0.5084,0.8412,0.8477,1.1922,0.0828,3.4722,0.6566,4.1288
W4_N2048_D64_H4_B4,0.5176,0.4724,0.4457,0.6191,0.0813,2.1361,1.1554,3.2915
W1_N1024_D64_H4_B4,0.4757,0.4551,0.2876,0.6299,0.0792,1.9275,0.0431,1.9706
W2_N1024_D64_H4_B4,0.4862,0.2775,0.1646,0.3313,0.0775,1.3370,0.3944,1.7314
W4_N1024_D64_H4_B4,0.5260,0.1832,0.1023,0.2434,0.0783,1.1333,0.6951,1.8284
W1_N512_D64_H4_B4,0.4784,0.1598,0.0951,0.1869,0.0719,0.9921,0.0431,1.0352
W2_N512_D64_H4_B4,0.5033,0.1268,0.0646,0.1435,0.0768,0.9150,0.3061,1.2211
W4_N512_D64_H4_B4,0.5227,0.1234,0.0588,0.1188,0.0871,0.9107,0.5075,1.4181
W1_N256_D64_H4_B4,0.4721,0.0829,0.0436,0.0929,0.0677,0.7592,0.0422,0.8015
W2_N256_D64_H4_B4,0.5109,0.0990,0.0494,0.0755,0.0753,0.8101,0.4116,1.2216
W4_N256_D64_H4_B4,0.5612,0.1220,0.0566,0.0953,0.0854,0.9205,0.4857,1.4061
W1_N2048_D64_H4_B4,0.4863,1.5733,1.6705,2.1324,0.1034,5.9659,0.0461,6.0120
W2_N4096_D64_H4_B4,0.4969,3.0633,3.2335,4.1649,0.1155,11.0741,1.0873,12.1614
W4_N8192_D64_H4_B4,0.5821,6.5499,7.5862,8.2876,0.1183,23.1240,4.1795,27.3035
W1_N1024_D64_H4_B4,0.4790,0.4597,0.2879,0.6320,0.0790,1.9377,0.0427,1.9804
W2_N2048_D64_H4_B4,0.5207,0.8447,0.8481,1.1925,0.0877,3.4936,0.6931,4.1867
W4_N4096_D64_H4_B4,0.6021,1.6147,1.6461,2.2475,0.0981,6.2087,2.0524,8.2611
W1_N512_D64_H4_B4,0.5067,0.1730,0.0987,0.1936,0.0863,1.0583,0.0517,1.1100
W2_N1024_D64_H4_B4,0.5098,0.2755,0.1649,0.3307,0.0764,1.3573,0.4745,1.8318
W4_N2048_D64_H4_B4,0.5602,0.4801,0.4425,0.6144,0.0811,2.1782,1.1419,3.3201
W1_N256_D64_H4_B4,0.4794,0.0848,0.0448,0.0994,0.0694,0.7779,0.0425,0.8204
W2_N512_D64_H4_B4,0.5114,0.1388,0.0684,0.1621,0.0854,0.9661,0.3381,1.3042
W4_N1024_D64_H4_B4,0.5227,0.1824,0.1036,0.2430,0.0760,1.1277,0.7830,1.9107
